fragment	extracted_org	status
"then classified as a ""revived salvage"" or ""salvaged"" vehicle and the certificate of ownership (i.e., the ""pink slip"") reflects this classification"		none_parsed
then filed a claim with the board for compensation related to erroneous conviction		none_parsed
then it should apply to all construction of a particular type and not exempt certain projects simply because of the existence of a project labor agreement. According to opponents	opponents	parsed
then leave it to the municipal utility to determine what types		none_parsed
Then the person enters a program and achieves sobriety. Under		none_parsed
then the student should attend a different school. The religious-based schools	The religious-based schools	parsed
theory and practice, requires assessors to accumulate		none_parsed
theory of taxation, that is, taxes should be based on an individual's		none_parsed
Therapists, California Coalition for Youth, Committee on	California Coalition for Youth	parsed
there also is the potential to be accused of influencing criminal investigations of others		none_parsed
There are a number of interests opposed to this		none_parsed
There are about 30,000 firefighters in California, compared to about		none_parsed
There are an estimated 20 MSUs in the United		none_parsed
There are anecdotal reports from members of the Pacific Water Quality Association	Pacific Water Quality Association	parsed
there are any significant environmental impacts to the environment. Further, a CEQA review would not lead to any		none_parsed
there are circumstances that require flexibility and we strongly		none_parsed
there are few companies with experience in the launch of CCA programs and AB 976 would discourage consultants from providing any services to a CCA		none_parsed
there are many business entities (primarily small businesses) who are holders of unclaimed property who are or		none_parsed
there are many known physical causes for the symptoms labeled		none_parsed
there are many small, disadvantaged communities suffering from poor water quality		none_parsed
there are many times where an ophthalmologist cannot		none_parsed
there are multiple competing interests and concerns that a		none_parsed
there are not enough licensed and staffed emergency and critical care services, or critical care ambulances to meet		none_parsed
there are numerous changes proposed in this legislation that		none_parsed
there are other means, such as the U.S. Passport Card, that achieve		none_parsed
there are problems with the state's EBT policies. They		none_parsed
There are several regional investment funds, Bay Area Family of Funds and Genesis LA that have invested in economic development and affordable	Bay Area Family of Funds and Genesis LA	parsed
There would be very few cases where there is evidentiary		none_parsed
thereafter. Coordination of dental care components		none_parsed
thereby empowering state agencies to further		none_parsed
thereby increasing funding available		none_parsed
thereby recouping the payments years after the fact. With some health centers receiving millions of dollars in incentive payments		none_parsed
thereby subjecting California consumers to potential harm. Further		none_parsed
therefore exempt from sales tax as well as income tax under		none_parsed
therefore providing an incentive to invest in solutions that increase drought preparedness		none_parsed
Therefore, AB 1895 would make an element of the crime also an		none_parsed
therefore, charter schools employees should have a defined benefit plan		none_parsed
Therefore, clarification and updating of the provisions in the HST bond		none_parsed
Therefore, CSA strongly	CSA	parsed
Therefore, even though there will not be an		none_parsed
Therefore, I am unable to sign the bill at this time		none_parsed
therefore, it can be argued that California, like the state of Alaska, is		none_parsed
therefore, it can be argued that California, like the state of Alaska, is not preempted		none_parsed
Therefore, it is imperative that probation officers have adequate tools		none_parsed
Therefore, SB 1287 is unnecessary to address harassment		none_parsed
therefore, the administrative cost for a health		none_parsed
therefore, the Open Enrollment Act, a	Open Enrollment Act	parsed
Therefore, the PTBC	PTBC	parsed
therefore, there is no need to put the early release program in statute. AB 1448 will allow the program to exist after the court-order (and the programs it imposed) is lifted		none_parsed
these abilities will be sharply limited - and creates the potential for endemic issues to be legally unresolvable		none_parsed
these actions are placing an administrative and financial burden on health centers		none_parsed
These actions indicate that a more permanent solution to this issue may be at hand. I urge the federal authorities to act swiftly		none_parsed
these activities through the transfer fee there are other		none_parsed
These additional dollars would help to close the special education funding gap and provide ongoing financial		none_parsed
these additional funds during the budget process		none_parsed
These agreements routinely bar class		none_parsed
these aides virtually year-round without having to provide		none_parsed
These are adequate to deter solicitation of any person, adult or minor, for sex in exchange for something of value, but only if the person		none_parsed
These are critical changes		none_parsed
These are published in the California HDM and the California MUTCD. These		none_parsed
These are published in the Highway Design Manual and the California MUTCD		none_parsed
These bills authorize certain cities' redevelopment successor agencies to spend stranded bond assets on affordable housing rather than repaying and cancelling the bonds as required under current law		none_parsed
These burdensome restrictions on employers to regulate the actions of third parties with regard to the use of payroll cards will absolutely		none_parsed
These challenges necessitate comprehensive institutional		none_parsed
These changes are certain to improve student access to mental and broader health services which will		none_parsed
These changes are critical and will help		none_parsed
These changes provide a modernization and clarification of how trained		none_parsed
These changes will bring critically needed transparency to a process that is largely unregulated, ensuring that		none_parsed
These changes will result in increased costs in the tens of millions of dollars		none_parsed
These companies	These companies	parsed
These consultations will improve policymaking and policy outcomes for all citizens of our state and for this reason we strongly		none_parsed
These contractual provisions allow businesses to pick laws or venues of other		none_parsed
These conversations are continuing in an attempt to		none_parsed
These costs can vary widely		none_parsed
These costs include additional staff positions		none_parsed
These costs include an executive director and		none_parsed
these dangerous individuals are not able to game the system and avoid the intent of SB 57 by never reporting to their parole agents. Whether they		none_parsed
these decisions are not properly trained or licensed physicians		none_parsed
these demonstration projects to include recipients of aid		none_parsed
these devices through managed care and other insurance		none_parsed
These documents lack guidance for a large number of designs that [have		none_parsed
These dogs are pet dogs under the law. Because they themselves are not		none_parsed
these employees, as they are for credentialed and classified employees, available information indicates		none_parsed
These events		none_parsed
these facts was not required pursuant to Penal Code Section 851.86 (SB 618)		none_parsed
these fears		none_parsed
These findings		none_parsed
These flows create significant health risks for communities in the United		none_parsed
these funds from being used for a partnership between		none_parsed
these funds will be used		none_parsed
these goals. This process is intended to account for the uniqueness of each municipal utility by allowing different		none_parsed
These groups cite the need for state	These groups	parsed
These groups further	These groups	parsed
these groups remain opposed to the bill, which was substantially amended	these groups	parsed
These HBA's have caused significant problems for homeowners and as such three United		none_parsed
these important procedures rights		none_parsed
These incidents		none_parsed
These include supporting vulnerable populations to work towards better outcomes through education period Junior League of San Diego volunteers with and	Junior League of San Diego	parsed
These insurers	these insurers	parsed
These interpretations strictly limit the applicability of this important housing option for all future congregations that may wish		none_parsed
These letters were received regarding the bill as		none_parsed
These licenses are not to not to be considered property rights		none_parsed
These lists is likely incomplete as the bill was gut and amended on 6/20/16, not giving stakeholders a sufficient opportunity to review		none_parsed
These mass surveillance demands are dangerous because they allow local law enforcement in		none_parsed
These materials shall be the property of the institution. (B) Royalties or other compensation from sales of course materials that		none_parsed
These new studies		none_parsed
These organizations are critical to our cultural ecosystem and urgently need	These organizations	parsed
These parties, who generally represent the interests of complainants or aggrieved parties and often litigate those parties	These parties	parsed
These partnerships have lowered crime and enhanced our abilities to		none_parsed
these partnerships, it is important to insure that our LA Airport Police	LA Airport Police	parsed
These people and costs were divided among four major categories		none_parsed
These percentages are established in statute and do not fully take effect		none_parsed
these physicians would only have the effect of limiting the number of available reviewing physicians, which would drive up the cost	these physicians	parsed
these positions will		none_parsed
These procedural rules already permit a court to hear a petition that is unduly delayed or successive if the court finds that the		none_parsed
these program changes and associated costs as part of the annual budget process		none_parsed
These programs		none_parsed
These programs match homeowners and primary tenants with extra bedrooms to individuals seeking affordable housing while providing ongoing		none_parsed
These proponents	These proponents	parsed
These protections		none_parsed
These protections are more important than ever as we see a Federal pullback from safety guardrails on AI and as other		none_parsed
These protections may make it more appealing for funders		none_parsed
These provisions would dramatically expand pension benefits for a select		none_parsed
these reasons that the Governor vetoed AB 558, a similar version of this		none_parsed
these reasons, the Department does not	the Department	parsed
these requests within 30 days, which means they will receive a penalty of $750 under this measure		none_parsed
these reserve funds would cover return postage costs for just		none_parsed
these revised guidelines is unknown, but is likely to remain significant		none_parsed
these same concerns		none_parsed
these services. CANHR	CANHR	parsed
These shameful statistics		none_parsed
These statistics		none_parsed
these telephone advice lines, with the unfortunate consequence		none_parsed
these three PBMs own pharmacies. The sponsors	The sponsors	parsed
these types of prohibitions and Supplemental Security Income recipients, for example, are not		none_parsed
These underserved students and families would lose a reliable and effective	These underserved students and families	parsed
These various statements		none_parsed
These voluntary contributions support various purposes, including cancer		none_parsed
These would		none_parsed
They also are concerned that there is no formal methodology		none_parsed
They also cite the proprietary nature of some of the changes		none_parsed
They also do not have the direct-from-high school to college transition and		none_parsed
They also express concern that protectionist statutes will promote trade		none_parsed
They also feel that a fee will eventually be imposed which		none_parsed
They also note existing law is not explicit in granting a hearing aid dispenser the authority to perform tympanometry, resulting in potentially overlooked health problems		none_parsed
They also raise the benefits of clean DERs and demand response programs		none_parsed
They also raise the changing landscape in the western		none_parsed
they appeared in AB 25 and the remaining provisions of AB		none_parsed
they approved the development		none_parsed
They are		none_parsed
they are aged 55 or older. CANHR	CANHR	parsed
they are already exempt from most provisions of the Education Code. This		none_parsed
They are also concerned that the quantified reduction standard		none_parsed
they are concerned about the substantial number of mandated		none_parsed
They are concerned that the law could apply to development other than new		none_parsed
they are confident that assigning SSIDs to children in state and federally funded center-based child care and development programs and expanding CALPADS in this way provides a mechanism		none_parsed
they are essential components to the two largest employers, the information and entertainment industries. However, California's		none_parsed
they are involved in arrests and other physical confrontations with a heightened likelihood of complaints and litigation		none_parsed
They are manually processed and made accessible to LCSAs [(local child		none_parsed
they are not a licensed medical facility and do not have a licensed		none_parsed
they are not the only party harmed by the unscrupulous practice. Rather		none_parsed
They are provided by violence prevention professionals who are trained and certified	violence prevention professionals	parsed
they are purchasing. The question before the Committee is whether		none_parsed
they are purchasing. The question before the Legislature is whether or		none_parsed
they are transferred to a purchaser even if they have been granted an		none_parsed
They are useful only as a form of identification. DNA		none_parsed
they are working with the author to find acceptable language to		none_parsed
They can peacefully decide not to vote for a candidate because		none_parsed
they cannot be compelled to do so by an insurance company		none_parsed
They cite no limitation on the number of times an employee can request		none_parsed
They cite success of implemented AOT programs, and desire to increase the reach of this important option for outpatient treatment		none_parsed
They cite success of implemented AOT programs, and desire to increase the reach of what they describe as an important option for outpatient treatment		none_parsed
They claim Californians like their private coverage and strongly		none_parsed
"they collectively state: ""California is already lagging the rest of the nation in recovering from this recession"		none_parsed
They conclude that counties need a workforce with experience in successfully navigating their own behavioral health crises to help and		none_parsed
They conclude that despite other		none_parsed
They conclude that home visiting programs need the flexibility to supplement the program with mental health		none_parsed
They conclude the author is trying to send a message to firearms companies that he		none_parsed
"They continue, ""Since these exhibitions have been in existence for many"		none_parsed
they depend		none_parsed
they did not receive actual notice for several years after the entry of default judgment, and in the case of claims of identity theft or mistaken		none_parsed
They do		none_parsed
they do either of the following: (1) Furnishes information regarding Report the rendering of the Medi-Cal		none_parsed
they do not		none_parsed
they enter the security perimeter, rather than prison grounds? Is the intent to search at each sallyport entrance? Is the intent to search each		none_parsed
they firmly		none_parsed
They further note their organization	their organization	parsed
they have access to hospitalization, which is the department's		none_parsed
they have additional		none_parsed
they have become yet another funding source for		none_parsed
They have observed the work of the OSA and	OSA	parsed
they have very experienced		none_parsed
they must accept the lowest responsible bidder		none_parsed
They nevertheless continue		none_parsed
they note		none_parsed
They note		none_parsed
They note as a result, dozens of charities lose their tax-exempt status and are unable to pay the minimum franchise tax. The proponents	The proponents	parsed
They note enacting these exemptions is similar to the Legislature	the Legislature	parsed
They note recent amendments provide additional		none_parsed
They note the higher interest payment on late payments is intended to		none_parsed
They note their		none_parsed
They object to the process for charging higher permit fees because it is		none_parsed
They often share duties and responsibilities with the family and friends		none_parsed
they only have three months left on their license revocation due to the three months in jail counting for time toward their license suspension		none_parsed
they originally expected, the $5.5 million savings		none_parsed
they owe		none_parsed
they receive the individualized		none_parsed
They recognize ongoing efforts to increase demand for geothermal energy in the state but caution that regulatory hurdles continue to drive many developers to locate projects in		none_parsed
they remain		none_parsed
they remain steadfastly		none_parsed
They respond, however, by arguing that the law already provides		none_parsed
they see fit		none_parsed
they should not be used for purposes for which they		none_parsed
they signed a memorandum of understanding to form a parental		none_parsed
they strongly		none_parsed
They understand the important accountability measures and financial resources that will		none_parsed
they urge the author to look at changes in regulation that		none_parsed
they use to process their payrolls are charging fees		none_parsed
They will actively		none_parsed
they will continue		none_parsed
They will lose the evidence for their Title IX		none_parsed
they will not have taken an oath of allegiance to the country		none_parsed
they will remain		none_parsed
thing the Department is not aware of significant harm done by personal	the Department	parsed
third party agents may increase the likelihood of data breaches. In		none_parsed
Third, because changes in health plans are usually permitted		none_parsed
Third, opponents question the value of public disclosure of declination of coverage rates. ACHLIC writes that	ACHLIC	parsed
"this, the word ""biennially"" needs to be inserted"		none_parsed
This] legislation ensures that state law will		none_parsed
Thompson Loan Repayment Program is selected from a list of physicians provided by the CMA. The CMA also requested	CMA	parsed
thorough review and discussion until next session. The American College of Obstetricians and Gynecologists, District IX, and the American Civil	American College of Obstetricians and Gynecologists, District IX	parsed
Thoroughbred association or fair to import more out-of-state		none_parsed
Thoroughbred Owners of California in order to authorize the CHRB to enter into the model compact	Thoroughbred Owners of California	parsed
those already convicted of a sex offense who have been subject to		none_parsed
Those being held pending an SVP hearing are being held		none_parsed
those bonds are repaid, proceeds from surplus property are to be directed		none_parsed
those costs to all classes of licensees. The bill will		none_parsed
those guidelines allow for tailoring in the way hospitals		none_parsed
those in the community and consequently require comprehensive		none_parsed
those individuals to file a California return a state EITC could have a		none_parsed
those investments will make the resulting Department		none_parsed
those most in need. CAPA	CAPA	parsed
those options that will be supported by all parties and thus		none_parsed
those people who have a legitimate reason for having an intact dog or cat		none_parsed
those positions will be filled by the prior contractor's employees		none_parsed
those prepared as part of compliance with the California Environmental		none_parsed
those programs		none_parsed
those programs in light of the changing marketplace		none_parsed
Those provisions, however, were deleted from AB 537 and AB 646 prior to		none_parsed
those purposes		none_parsed
those regulations in place immediately		none_parsed
Those requirements include, where practicable, double-blind		none_parsed
Those revenues have either established new programs		none_parsed
those same employers to liability under other proposed		none_parsed
those school districts and county offices of education which do not presently have them, sample		none_parsed
those stated by the PUC	PUC	parsed
those streams of revenue and place all programs dependent on charitable		none_parsed
Those who		none_parsed
those who are eligible, they are enrolled into state and federally		none_parsed
those who do not		none_parsed
Those who experience discrimination should have their		none_parsed
those who may be at risk of falling by providing services and		none_parsed
those who will benefit from its implementation		none_parsed
those with work authorization, would be denied disability		none_parsed
those working parents who are now without extended care, nor have the luxury of accruing vacation days. Most working parents do not get paid for		none_parsed
though a portion of the payments will be used by		none_parsed
though a Senate committee analysis lists Paw Pac as an opponent	Paw Pac	parsed
Though California has a state statute designed to protect the entertainment industry and general public against the crime of music		none_parsed
though federal law allows reimbursement for same day visits. The CPCA	CPCA	parsed
though potential concerns have been raised about only a few		none_parsed
though the existing standard for a harassment suit under FEHA		none_parsed
Though the intent of the bill is worthy, the appointment of a state Dental Director is		none_parsed
though the URL would contain the same financial disclosures currently		none_parsed
Though there are no opponents officially registered to this		none_parsed
Though they did not take an official		none_parsed
Though this could ultimately prove true, it is hard to imagine		none_parsed
thoughtful way		none_parsed
thoughtful, deliberate consideration by the Legislature	the Legislature	parsed
thoughtfully debated and weighed against other high value programs of expenditure. The State Auditor's recent report made some useful recommendations on contracting practices	State Auditor	parsed
thousands, of pieces of correspondence regarding this issue		none_parsed
"threaders from the training and regulation needed to ensure the protection of state consumers in beauty salon settings. The specified ""threading"" technique employs the use of fine threads"		none_parsed
threat to public health, the environment, and the economy of the region		none_parsed
threat to public safety		none_parsed
threaten the operation of responsible businesses		none_parsed
threatened, and fearing harassment and/or prosecution by		none_parsed
threatening medical conditions. The restraints rendered it virtually		none_parsed
threatens the economic vitality of the businesses who comply with sound		none_parsed
Three federal courts are considering lawsuits that could result in court		none_parsed
three large investor-owned utilities (IOUs)-Pacific Gas & Electric	Pacific Gas & Electric	parsed
three months. 13 other states, including California have a four months		none_parsed
three of the 10 largest shows in the country are held in California. The AKC also	AKC	parsed
three outcomes, the county pays the bill. In one of three outcomes possible in large counties, providers do		none_parsed
three through eight and grade eleven. The new assessments are expected to		none_parsed
three-year to one-year process. Currently, revenue is		none_parsed
threshold for parcel taxes to help provide additional funding for local		none_parsed
threshold for such an exclusion? Would $15,000 be a		none_parsed
threshold?applies in the very unique setting where a		none_parsed
thresholds are reduced, there should first be a review of online filing technology and consideration of the potential		none_parsed
through 12 years of age		none_parsed
through a large numerator (high medical expenditures) or through a small denominator (low insurance premiums)?.neither premiums		none_parsed
through a petition process or by community college district		none_parsed
through a principal reduction or short-sale. They state continuing this		none_parsed
through a written job application that asks the applicant to list his or		none_parsed
through an existing entity, such as the Health and Human		none_parsed
through CHDP. The language of SB 112 refers to initial		none_parsed
through efficient collection and disposal		none_parsed
through Friday on a full-time basis in their third and fourth year		none_parsed
through its Labor Enforcement Task Force. In this joint effort	Labor Enforcement Task Force	parsed
Through licensure compacts		none_parsed
through manipulation of the marketplace that continues to this day		none_parsed
through port community outreach programs, and most meetings are open to		none_parsed
through state legislation		none_parsed
through telehealth. Instead		none_parsed
"through the ...CTC"" that would largely duplicate or supplant"		none_parsed
through the California Children's Services Program	California Children's Services Program	parsed
through the contract process rather than by statute. Specifically, while		none_parsed
through the high-risk pool. KP	KP	parsed
through the imposition of exorbitant permit fees and gear		none_parsed
through the landline system is still a worthwhile policy in light of technological change		none_parsed
through the regular budget review and development process. This		none_parsed
through the regulatory process		none_parsed
through the vaccination		none_parsed
throughout California. While we support certain technical provisions of the bill intended to ensure that existing Affordable Housing Funds are		none_parsed
throughout the		none_parsed
Throughout the Civil Code Sections 3084 and [8]146, and in the mechanic's lien itself, it requires the name of the owner or reputed		none_parsed
throughout the country and ramping up California's higher education		none_parsed
throughout the interim period		none_parsed
throughout the state, including areas not targeted by this		none_parsed
"throughout the state."" CCAC further"	CCAC	parsed
throughout the world but paid for by California taxpayers		none_parsed
Thus any suggestion that school volunteer background check provisions		none_parsed
Thus CAHPERD	CAHPERD	parsed
Thus California online notaries could provide notarization services to individuals in other	California online notaries	parsed
thus increasing costs to the public entity		none_parsed
thus reducing the job potential for their workers. 4) Technical Amendment. On		none_parsed
thus setting the stage for other states to enact similar labeling requirements for		none_parsed
Thus, according to FTB	FTB	parsed
Thus, despite the Legislature's clear intent to the contrary, when the order of an offender's DUI convictions does not follow the order of the offenses, the offender escapes more severe penalties		none_parsed
Thus, if a judge truly		none_parsed
Thus, in the future, any		none_parsed
Thus, the amendment below is the recommendation, and it		none_parsed
Thus, under current law, local law enforcement agencies have up to 50		none_parsed
Thus, when AMR	AMR	parsed
tie up already scarce resources thereby preventing law enforcement from		none_parsed
tied as we would be precluded from assisting federal law enforcement in		none_parsed
tier system of students, between those life, family, and educational		none_parsed
tighter in several areas, and recommends the following changes		none_parsed
tighter timeframes for serving notices and completing investigations		none_parsed
time allocations from the state's General Fund. They		none_parsed
time and part-time workers. CLF	CLF	parsed
time data is updated on Megan's Law listing will breed hysteria and vigilantism. Further, stranger victim is not the typical risk		none_parsed
time employees (more than 30 hours per week), and that SHPP	SHPP	parsed
time for the BAC to provide any meaningful review or comments on the proposed budget	BAC	parsed
time for the Legislature to consider enacting a rational, long-term fee		none_parsed
time is being abused		none_parsed
time of significant cutbacks could adversely impact the courses		none_parsed
time of this writing		none_parsed
time period only two performers contracted HIV-off set-in their personal		none_parsed
time their offender would be eligible to have his sentence recalled and lowered to 25 years to life (at 10, 15, 20 and 24 years). This		none_parsed
time to collect fees and address unsatisfied customers		none_parsed
time to disclosure requirements, thus discouraging consultants from using		none_parsed
time to do that . . . . We are often paged out late in the day to arrive at		none_parsed
time to prepare a response. In eliminating this blackout period, AB 2028		none_parsed
time to run the 5/25/95 amendments past their respective		none_parsed
time to time, in response to studies of statewide eligibility		none_parsed
"time"" penalties as they would under the normal ""Berman hearing"" process"		none_parsed
time, based on recent amendments		none_parsed
time-driven closure process, would be a large step away from the focus of the Lanterman Act on the individual		none_parsed
timeframes for payment of disputed services after independent		none_parsed
timeline is very problematic for crime labs and is not feasible without a	crime labs	parsed
timely manner. Creating a voluntary pilot program to set up a drop off		none_parsed
times and the reliability of transit systems. They also		none_parsed
times. Transportation agencies throughout the state, including Metro, felt	Metro	parsed
timesheet requirements for IHSS providers and recipients, primarily		none_parsed
Tipping Point funded a pilot program with the San Francisco Department of Child	Tipping Point	parsed
TMSRT, the existing framework that applies to depository institutions is		none_parsed
TNC Access for All Program has strong	TNC Access for All Program	parsed
TNR is a daily assault on the constitutionally protected rights of racial and ethnic minority Californians that, as SB 509 makes clear, is not limited to any one state or even a particular group of		none_parsed
to $10,000. A person who violates this section may also be		none_parsed
to (1) review available adult learning disabilities		none_parsed
To 4/9/07 version		none_parsed
"to a conservation easement."" Both EBMUD and ACWA"	EBMUD and ACWA	parsed
to a customer the right to receive a refund of excess sales tax		none_parsed
to a hearing by not receiving the notice promptly and not having adequate		none_parsed
title protection has long been a priority for the organization and that		none_parsed
title, including the common interest development governing		none_parsed
to a hospital business office because these documents are		none_parsed
to a PI which was in 2005. Four licensed PIs have been placed on		none_parsed
to a previous version of the bill)		none_parsed
to a prior version of the bill)		none_parsed
to a private company and deserve the chance to decide		none_parsed
to a probation violation and incarceration as a result thereof		none_parsed
to a SNFl (b) exempt continuing care retirement communities (CCRCs) from		none_parsed
to a training workshop they held in January where 440 newly elected		none_parsed
"to abuse. ""As the law presently exists, anyone who has legitimate"		none_parsed
to accelerate transportation projects in the State Highway Operation and Protection Program. While I appreciate the Legislature's intent		none_parsed
to access funding		none_parsed
to achieve the desired increase in seismic upgrades, and that taxpayers		none_parsed
to achieve the objective of AB 1617, especially given the scarcity and short-term nature of any surplus funds the state is investing		none_parsed
to achieve these goals		none_parsed
to add a new section 758.6 to the Insurance Code. If both bills		none_parsed
to add numerous additional trials into already heavily burdened criminal		none_parsed
to additional facilities. Your bill would give the CDCR the flexibility	CDCR	parsed
to address an entirely different issue		none_parsed
to address major public works disputes in a timely and cost effective manner		none_parsed
"to address the problem of ""dumping"" of homeless persons by"		none_parsed
to address the telephone number conservation issue. According		none_parsed
to address the underlying reasons for rising health		none_parsed
to address these subsidy concerns		none_parsed
To address this concern, on Page 17 of the Assembly Judiciary Committee analysis, it		none_parsed
to adopt emergency regulations to accelerate the deposit paid into the Fund by adjusting the payment schedule for distributors from every three		none_parsed
to affordable housing		none_parsed
to aged, blind, and disabled persons with low income below 133 percent FPL		none_parsed
to all dietary supplements, except vitamins and minerals, even		none_parsed
to all segments of the California industry		none_parsed
to allow a court to order the preservation of assets and property owned		none_parsed
to allow access for non-investigative functions, i.e., background checks		none_parsed
to allow designated deputies to act on behalf of ex officio		none_parsed
to allow for the more effective implementation of the bill's provisions. In response to insurance industry	insurance industry	parsed
to amend its regulation to allow churches to continue to provide		none_parsed
to an important policy established in Senate Bill 813		none_parsed
to an incoming tenant that is treated as a co-tenants by		none_parsed
"to Animals, ""Studies have documented a link between animal abuse and domestic violence with perpetrators often abusing animals in order to"		none_parsed
to annex urbanized islands which is inconsistent with state and local		none_parsed
to another agency will have a direct impact upon necessary		none_parsed
to argue the legislature's intent is that the Bagley-Keene Act be		none_parsed
to assist any one city, including the City of Lynwood, in developing its local economic development	City of Lynwood	parsed
"to associate."" Opponents"	Opponents	parsed
to attain complete treatment services in venues that are outside of the systems that currently respond and without shame of a criminal record		none_parsed
to authorization by a county or city, authorizes a licensed		none_parsed
to award damages resulting from an unlawful strike, and as a result would		none_parsed
to be $26 million		none_parsed
to be a problem until the CDCR has flexibility to move condemned inmates	CDCR	parsed
to be adopted by August 1, 2001		none_parsed
to be deposited into the General Fund		none_parsed
to be implemented later this year, would stop the importation		none_parsed
to be of the highest quality, meaning minimum qualifications for		none_parsed
to be paid by self-pay patients, as defined, and would have		none_parsed
to be significantly less than in urban and suburban locations, the savings from these lower costs are available to rural		none_parsed
to be submitted to the federal Election Assistance Commission (EAC) by the SOS. Upon federal approval, an expenditure plan	federal Election Assistance Commission	parsed
to be utilized by the California start-up companies for demonstration of their emerging technologies		none_parsed
to begin with, directly reducing the amount of competent immigration		none_parsed
To begin with, proponents assume that medical providers can offer telehealth to patients across state lines, with no concern for those		none_parsed
to benefit health care coverage purchasers and patients, has turned into a market situation in which a		none_parsed
to benefit students		none_parsed
To better		none_parsed
To better identify where policy and programmatic interventions can		none_parsed
to better management of the funds generated from commercial salmon stamp sales		none_parsed
to bid these types of projects from preventing smaller, disadvantaged or		none_parsed
to bill as amended March 23, 2004: Allmark Properties	Allmark Properties	parsed
to bill as amended March 23, 2004: California	California	parsed
to both parties as well as public costs for the additional		none_parsed
to CAL FIRE to provide additional local assistance grants to achieve wildfire risk reduction consistent with the Framework and	CAL FIRE	parsed
to CalHR for reinstatement. However, the CalHR ALJ cannot consider if	CalHR	parsed
to California		none_parsed
to California communities		none_parsed
to California veterans		none_parsed
to California-licensed physicians, and to limit utilization reviews to		none_parsed
to CANHR, of this amount, $1.9 million in fines were waived or	CANHR	parsed
to case management services. CAHF	CAHF	parsed
to CASE of its legal outsourcing contracts so the state and the union can	CASE	parsed
"to change ""shall"" to ""may"		none_parsed
to change the character of the community colleges		none_parsed
to charge ratio. However, from time to time, hospitals make sweeping		none_parsed
to children following a CHDP health screen. However, the California Medical Association (CMA), the sponsors, indicates that the process for reimbursement is	California Medical Association	parsed
to chronic illnesses such as diabetes, asthma, allergies and even autism		none_parsed
to CIRM grants and loans that are in the best interest of the state, but these provisions may discourage industry	CIRM	parsed
to complement our ongoing		none_parsed
to comply with parole conditions. It also diminishes the quality and intensity of parole supervision, because parole officers know they have		none_parsed
to comply with the mandates of Proposition 218		none_parsed
to concentrate in areas where high		none_parsed
to conduct		none_parsed
to conduct a review and analysis of admission		none_parsed
to conduct R&D in the location where the credit is given. California's		none_parsed
to consider specified admission criteria conflicts with the UC's system of shared governance, that the medical school	UC	parsed
to constrain the innovation and investment currently driving solutions		none_parsed
to contest the decision not to re-employ		none_parsed
to continue their work, the result being higher insurance rates		none_parsed
to continue to provide quality health care services on the low reimbursement rates and that the legislature last year and this year provided the rate increases to address this		none_parsed
to continue. The commission		none_parsed
to contract with between		none_parsed
to convene and		none_parsed
to coordinate the bidding and oversight of 30-40 separate, trade-specific		none_parsed
to counties statewide for county social worker time spent engaged in intensive family finding and		none_parsed
to craft language that defined the distinction between inappropriate use		none_parsed
to create a law to comply with the law. DOF also	DOF	parsed
to create an investment authority by entering into a Joint Powers		none_parsed
to criminalizing otherwise legal behavior		none_parsed
"to CTA, ""we can see no reason to entertain a proposal which would"	CTA	parsed
To date, 40		none_parsed
To date, Congress has not taken any action to expressly regulate or	Congress	parsed
To date, ERIC has identified more than a million duplicate registration records for member	ERIC	parsed
To date, over 14		none_parsed
To date, over 20		none_parsed
To date, three		none_parsed
To deal with this problem, 43		none_parsed
to demonize a loan product. They		none_parsed
to designate a marine managed area, as defined in		none_parsed
to determine that a further increase is warranted at this time		none_parsed
to develop and issue instructional guidance		none_parsed
to develop strategies for addressing community needs		none_parsed
to DHS the minimum amount specified by law or 50 percent of the amount specified in the citation, whichever is greater	DHS	parsed
to diagnose illness would be unprecedented. The Association	The Association	parsed
to diminish, we anticipate the disparity between the users and the pilots		none_parsed
to disclose a fact that would not have been cause for denial of the license had it been disclosed. (f) A board shall follow the following procedures in requesting		none_parsed
to disclose to the public and to the communities they		none_parsed
to display either of the following: (a) (1) A trademarked or copyrighted URL		none_parsed
to disproportionately impacted communities. AB 2586 is currently pending in the Senate Health Committee. AB 2626 (Calderon		none_parsed
to DMH for evaluation. A hearing is held to determine whether there is	DMH	parsed
to DMV. They are able to do this by issuing a resale certificate at the time of purchase at a salvage auto auction. Some of the purchasers remit	DMV	parsed
to do so.' This means that the original intent of Government Code Section		none_parsed
to DOJ. Do local governments have the personnel and capacity to	DOJ	parsed
to domestic violence shelters		none_parsed
to drug treatment and testing		none_parsed
to duplicate files, transport them to satellite offices and to		none_parsed
to employees. Blue Cross also	Blue Cross	parsed
to enforce the federal drug laws. (Internal citation omitted).' This		none_parsed
to enhance their learning ability, I cannot support		none_parsed
to ensure our success and, ultimately, the success of public safety realignment		none_parsed
to ensure prohibited persons do not possess guns. To enforce laws		none_parsed
to ensure that its existence and		none_parsed
to ensure that only one payment is made for a claim if a child has		none_parsed
to ensure the physical safety of all students, but the protection		none_parsed
to ensure the safety of human blood or human whole blood derivatives		none_parsed
to ensure their ability to participate in those proceedings		none_parsed
to establish and staff the Charter Authorizing		none_parsed
"to examine the ""financial solvency"" of each insurer, but"		none_parsed
to exercise regulatory control over those public utility		none_parsed
